"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
1380940,49981,2818,20286,2018,1,27,2018,2,3,"Film & Animation",0.0361934624241459,6
595827,60864,1231,3286,2018,4,5,2018,4,16,"Film & Animation",0.102150456424432,11
1862249,38625,1850,6017,2017,11,21,2017,11,25,"Film & Animation",0.0207410502032757,4
1518483,11284,337,1213,2018,1,30,2018,2,1,"Film & Animation",0.00743110064452483,1
7302751,143504,5710,18038,2018,3,6,2018,3,14,"Film & Animation",0.0196506768476701,8
3693222,35078,538,1892,2018,2,14,2018,2,16,"Film & Animation",0.00949793973933871,2
892869,12865,587,1024,2018,3,21,2018,3,29,"Film & Animation",0.0144086086536771,8
5964853,321680,7426,24780,2018,2,10,2018,2,15,"Film & Animation",0.0539292418438476,5
1956044,14041,1294,1804,2018,6,4,2018,6,9,"Film & Animation",0.00717826388363452,5
1520671,39736,1059,4695,2018,2,27,2018,3,2,"Film & Animation",0.0261305699917997,5
1421026,23213,952,1975,2018,3,12,2018,4,1,"Film & Animation",0.0163353802111995,19
7554553,263150,4157,14360,2018,5,19,2018,6,9,"Film & Animation",0.0348332985419521,20
1000913,51255,2479,5594,2018,1,7,2018,1,9,"Film & Animation",0.0512082468706071,2
827325,27008,643,3039,2017,12,19,2017,12,20,"Film & Animation",0.0326449702353972,1
1114100,53494,995,1770,2018,2,26,2018,3,4,"Film & Animation",0.0480154384705143,8
1383480,29381,1157,4210,2017,12,1,2017,12,6,"Film & Animation",0.0212370254719981,5
12809426,203997,3741,15521,2018,2,5,2018,2,8,"Film & Animation",0.0159255379593122,3
2336528,6729,167,1286,2017,11,16,2017,11,17,"Film & Animation",0.00287991412899824,1
1332018,30829,3421,5743,2018,3,14,2018,3,17,"Film & Animation",0.0231445821302715,3
2143569,3615,80,160,2018,5,23,2018,6,7,"Film & Animation",0.00168643976471016,14
4815005,134367,3591,15286,2018,5,25,2018,6,1,"Film & Animation",0.0279058900250363,6
2997225,228303,777,46626,2018,4,29,2018,5,10,"Film & Animation",0.0761714585992043,11
