"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
3299667,48488,2991,2760,2017,12,20,2017,12,26,"Film & Animation",0.0146948161738745,6
2386614,209943,610,47354,2018,4,29,2018,5,2,"Film & Animation",0.0879668853027762,3
1247694,21568,873,1875,2018,3,12,2018,3,20,"Film & Animation",0.0172862897473259,8
2873471,73267,4863,11937,2017,12,5,2017,12,8,"Film & Animation",0.0254977342732883,3
1382057,65740,1198,6308,2017,12,5,2017,12,7,"Film & Animation",0.0475667790836413,2
890268,20238,771,2324,2018,6,10,2018,6,11,"Film & Animation",0.0227324805564167,1
2864448,197712,3103,69719,2018,1,21,2018,1,23,"Film & Animation",0.069022722702594,2
10454654,300712,3860,19134,2018,3,22,2018,3,23,"Film & Animation",0.0287634578820112,1
1145941,15400,3484,3313,2017,11,20,2017,11,21,"Film & Animation",0.0134387372473801,1
2841875,18082,2484,7459,2017,12,8,2017,12,9,"Film & Animation",0.0063627006817682,1
13345099,309082,4808,18372,2018,2,7,2018,2,9,"Film & Animation",0.0231607124083531,2
3279622,90666,6120,18135,2018,1,4,2018,1,8,"Film & Animation",0.0276452591182764,4
2001492,71034,1237,3893,2018,1,24,2018,1,26,"Film & Animation",0.0354905240690445,2
8258921,200217,7453,38473,2018,2,28,2018,3,2,"Film & Animation",0.0242425130352984,4
1544363,7027,908,557,2017,12,4,2017,12,9,"Film & Animation",0.00455009605902239,5
16712248,200318,14347,41640,2018,6,5,2018,6,8,"Film & Animation",0.0119862989108347,3
646634,38258,498,1272,2018,2,26,2018,2,28,"Film & Animation",0.0591648444096661,2
2805317,198913,3595,13972,2018,3,4,2018,3,5,"Film & Animation",0.0709057122599692,1
1614392,36163,3066,6371,2017,11,28,2017,12,1,"Film & Animation",0.022400383549968,3
2298162,24136,1358,1979,2018,5,31,2018,6,10,"Film & Animation",0.010502305755643,9
875022,34403,956,4532,2018,6,12,2018,6,13,"Film & Animation",0.0393167257508954,1
1297308,8960,1792,1540,2018,5,18,2018,5,21,"Film & Animation",0.00690660968713675,3
3434039,238248,4223,21520,2018,3,30,2018,4,1,"Film & Animation",0.0693783617483669,1
934754,25607,366,1223,2017,12,19,2017,12,20,"Film & Animation",0.027394373278959,1
661184,118254,2004,10063,2017,12,1,2017,12,3,"Film & Animation",0.178851877843384,2
554732,15248,325,2055,2017,11,16,2017,11,17,"Film & Animation",0.0274871469466337,1
6330380,20744,7227,0,2018,3,22,2018,3,25,"Film & Animation",0.00327689648962622,3
4468926,119291,10055,20182,2018,5,27,2018,6,1,"Film & Animation",0.0266934381996927,4
3407345,26882,2518,1793,2017,12,16,2017,12,18,"Film & Animation",0.00788942710526818,2
501614,22651,181,4890,2018,4,27,2018,4,30,"Film & Animation",0.0451562356712532,3
970854,12464,446,184,2017,12,27,2017,12,29,"Film & Animation",0.0128381816421419,2
506435,23064,163,2946,2018,2,13,2018,2,14,"Film & Animation",0.04554187605517,1
1761658,34362,1594,5827,2017,12,26,2017,12,31,"Film & Animation",0.0195054885795086,5
1927042,72423,1952,9616,2018,5,1,2018,5,3,"Film & Animation",0.0375824709580798,2
4795716,30035,3246,3722,2018,6,7,2018,6,12,"Film & Animation",0.0062628812882164,5
